addTwoArrays.dot,1
binarySearch.dot,1
bubbleSort.dot,-1
calCartesianProduct.dot,1
calEucDist.dot,1
calGeometricMean.dot,-1
calMagnitude.dot,1
calManhattanDist.dot,1
calMean.dot,1
calSum.dot,1
calVariance.dot,-1
calWeightedAverage.dot,1
copyArray.dot,1
countK.dot,1
countNonZeros.dot,1
countZeros.dot,1
dotProduct.dot,1
findMax.dot,1
findMax2.dot,-1
findMedian.dot,-1
findMin.dot,1
heapSort.dot,-1
insertionSort.dot,-1
linearSearch.dot,1
meanAbsError.dot,1
quickSort.dot,-1
selectionSort.dot,-1
selectK.dot,-1
setMinValue.dot,1
shellSort.dot,-1
